[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
